Category,Full Name,Pokepaste,EVs,Tournament / Event,Rank,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
In Person Event,Matt Bruno,https://pokepast.es/654479fec6457d8a,Yes,Milwaukee Regional 2026,84th,Volcarona,Toxtricity,Drifblim,Indeedee,Hydreigon,Kommo-o
In Person Event,ursakingvgc,https://pokepast.es/063d9d0729f1d085,Yes,Milwaukee Regional 2026,1st,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Renzo Navarro,https://pokepast.es/e2269dca24ee3a08,No,Belo Horizonte Regional 2026,1st,Incineroar,Volcarona,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Ninetales-Alola
In Person Event,Victor Vieira,https://pokepast.es/669fa49ed9708a62,No,Belo Horizonte Regional 2026,2nd,Incineroar,Rotom-Wash,Flamigo,Ursaluna,Porygon2,Gholdengo
In Person Event,Sebastián Lobos,https://pokepast.es/2655df2565240b29,No,Belo Horizonte Regional 2026,3rd,Incineroar,Rillaboom,Annihilape,Ursaluna-Bloodmoon,Gholdengo,Dragonite
In Person Event,Cristhian Andrade,https://pokepast.es/1709608bd5e017f5,No,Belo Horizonte Regional 2026,4th,Volcarona,Ursaluna-Bloodmoon,Gholdengo,Grimmsnarl,Archaludon,Dragonite
In Person Event,Pedro Feitosa,https://pokepast.es/4db59e1d8486690e,No,Belo Horizonte Regional 2026,5th,Volcarona,Basculegion,Rillaboom,Maushold-Family-of-Four,Gholdengo,Dragonite
In Person Event,Kenneth Gamboa,https://pokepast.es/a6d3aba6891ddaeb,No,Belo Horizonte Regional 2026,6th,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
In Person Event,Gabriel Agati,https://pokepast.es/eebe601bb575c435,No,Belo Horizonte Regional 2026,7th,Incineroar,Volcarona,Amoonguss,Rillaboom,Kingambit,Dragapult
In Person Event,Fábio Lima,https://pokepast.es/5852fc44e449d877,No,Belo Horizonte Regional 2026,8th,Incineroar,Basculegion,Pelipper,Whimsicott,Gholdengo,Archaludon
In Person Event,Juan Salerno,https://pokepast.es/fdb192ab9f55416e,No,Belo Horizonte Regional 2026,9th,Incineroar,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Ninetales-Alola
In Person Event,Ricardo Torrijos,https://pokepast.es/bd5ff39dae7e5345,No,Belo Horizonte Regional 2026,10th,Armarouge,Torkoal,Annihilape,Indeedee-F,Hatterene,Dragapult
In Person Event,Luciano Begot,https://pokepast.es/d2e6005bfc252637,No,Belo Horizonte Regional 2026,11th,Incineroar,Basculegion,Pelipper,Ursaluna,Sinistcha,Archaludon
In Person Event,Chuppa Cross IV,https://pokepast.es/c58d68edffcbcd1d,No,Pittsburgh Regional 2026,1st,Incineroar,Basculegion,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Gholdengo,Dragonite
In Person Event,Matt Tidd,https://pokepast.es/c6115a827b677e95,Yes,Pittsburgh Regional 2026,2nd,Volcarona,Primarina,Hariyama,Sinistcha,Kingambit,Archaludon
In Person Event,Daniel Yu,https://pokepast.es/a019e3c22d9061ae,No,Pittsburgh Regional 2026,3rd,Incineroar,Basculegion,Pelipper,Ursaluna,Sinistcha,Archaludon
In Person Event,Dylan Matthews,https://pokepast.es/0ba72e23af2a3def,No,Pittsburgh Regional 2026,4th,Incineroar,Basculegion,Pelipper,Ursaluna,Sinistcha,Archaludon
In Person Event,Justin Tang,https://pokepast.es/639696a53a59f4a8,Yes,Pittsburgh Regional 2026,5th,Arcanine-Hisui,Rillaboom,Sneasler,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,Joshua Lorcy,https://pokepast.es/a072e24aef6e37e7,No,Pittsburgh Regional 2026,6th,Incineroar,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Ninetales-Alola
In Person Event,Vincenzo Cicco,https://pokepast.es/c92647c89e0a1654,No,Pittsburgh Regional 2026,7th,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Rushil Thakkar,https://pokepast.es/e6b1316757100fea,No,Pittsburgh Regional 2026,8th,Basculegion,Rillaboom,Sneasler,Magmar,Kingambit,Ninetales-Alola
In Person Event,Jérémy Côté,https://pokepast.es/05289dd77834d301,No,Pittsburgh Regional 2026,9th,Incineroar,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Ninetales-Alola
In Person Event,Ofomezie Emelle,https://pokepast.es/1d23b39fd31a4a3e,No,Pittsburgh Regional 2026,10th,Incineroar,Basculegion,Maushold-Family-of-Four,Whimsicott,Gholdengo,Dragonite
In Person Event,Wu Yichun,https://pokepast.es/08226a1919cdf5f6,No,Pittsburgh Regional 2026,11th,Incineroar,Annihilape,Gholdengo,Ninetales-Alola,Archaludon,Dragonite
In Person Event,Zachary Weed,https://pokepast.es/ab5148b151a45e4d,No,Pittsburgh Regional 2026,12th,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Caelan Brown,https://pokepast.es/0ca7d8494c4f4893,No,Pittsburgh Regional 2026,13th,Incineroar,Amoonguss,Ursaluna,Porygon2,Gholdengo,Hydreigon
In Person Event,James Evans,https://pokepast.es/7e6fe5e8cbde086d,No,Pittsburgh Regional 2026,14th,Incineroar,Basculegion,Pelipper,Whimsicott,Gholdengo,Archaludon
In Person Event,Rajan Bal,https://pokepast.es/cb05d729fa2fecf5,No,Pittsburgh Regional 2026,15th,Ninetales,Rillaboom,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Whimsicott,Dragonite
In Person Event,Edward Glover,https://pokepast.es/0038ea430f7aedcb,Yes,Pittsburgh Regional 2026,39th,Charizard,Incineroar,Torkoal,Jumpluff,Ursaluna,Bronzong
In Person Event,Stefan Mott,https://pokepast.es/ec90e7d586299289,No,Monterrey Regional 2026,1st,Incineroar,Garganacl,Scyther,Gholdengo,Ninetales-Alola,Sylveon
In Person Event,Alexander Canseco,https://pokepast.es/a616c39350dcbae2,No,Monterrey Regional 2026,2nd,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Justin Tang,https://pokepast.es/639696a53a59f4a8,Yes,Monterrey Regional 2026,3rd,Arcanine-Hisui,Rillaboom,Sneasler,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,Jonathan Barradas,https://pokepast.es/7989c0761cf66c82,No,Monterrey Regional 2026,4th,Annihilape,Tyranitar,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Sinistcha,Klefki
In Person Event,William Brown,https://pokepast.es/c84fb17f74f82aba,No,Monterrey Regional 2026,5th,Basculegion,Greninja,Pelipper,Annihilape,Sinistcha,Archaludon
In Person Event,Marcus Dion,https://pokepast.es/754ff49f82fd6643,No,Monterrey Regional 2026,6th,Incineroar,Basculegion,Annihilape,Maushold-Family-of-Four,Gholdengo,Dragonite
In Person Event,Erich Schrader,https://pokepast.es/5beee7babfe15673,No,Monterrey Regional 2026,7th,Annihilape,Excadrill,Sneasler,Tyranitar,Indeedee,Maushold-Family-of-Four
In Person Event,Brandon Davis,https://pokepast.es/148aeb2efc0c29db,No,Monterrey Regional 2026,8th,Armarouge,Flamigo,Ursaluna,Indeedee-F,Archaludon,Salamence
In Person Event,Alberto Renero Pedrajas,https://pokepast.es/31e3d69ff45e1b05,No,Monterrey Regional 2026,9th,Volcarona,Basculegion,Rillaboom,Sneasler,Tyranitar,Dragonite
In Person Event,punihina1334,https://pokepast.es/6562f7717bbd858a,Yes,Monterrey Regional 2026,21st,Volcarona,Rillaboom,Electabuzz,Annihilape,Kingambit,Dragonite
In Person Event,kommandervgc,https://pokepast.es/173e4361c39e041f,Yes,Monterrey Regional 2026,24th,Incineroar,Amoonguss,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Dragonite
In Person Event,samirvgc,https://pokepast.es/407aaa17910513c3,Yes,Monterrey Regional 2026,31st,Arcanine-Hisui,Rillaboom,Sneasler,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,scizor240,https://pokepast.es/8a6f9e3b0bca4233,No,Monterrey Regional 2026,2nd,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Emanuele Briganti,https://pokepast.es/8f13a195fce04c41,No,Frankfurt Regional 2026,1st,Incineroar,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Ninetales-Alola
In Person Event,Víctor Medina,https://pokepast.es/04b9a59adf4d3cb0,No,Frankfurt Regional 2026,2nd,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Shohei Kimura,https://pokepast.es/5daaf9f64c600908,No,Frankfurt Regional 2026,3rd,Rillaboom,Annihilape,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Gholdengo,Dragonite
In Person Event,Davide Carrer,https://pokepast.es/54319cc36ae1d1f0,Yes,Frankfurt Regional 2026,4th,Arcanine-Hisui,Sneasler,Indeedee-F,Espathra,Kingambit,Hydreigon
In Person Event,Fabian Braun,https://pokepast.es/9940464cb5d318d3,No,Frankfurt Regional 2026,5th,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
In Person Event,Oliver Eskolin,https://pokepast.es/459a4df6520c76d7,No,Frankfurt Regional 2026,6th,Rillaboom,Annihilape,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Sableye,Dragonite
In Person Event,Joan Garcia,https://pokepast.es/71a0900b5c9122cd,No,Frankfurt Regional 2026,7th,Volcarona,Dondozo,Rillaboom,Sneasler,Kingambit,Baxcalibur
In Person Event,Valentijn Visser,https://pokepast.es/5ed9516c9f37b6b6,No,Frankfurt Regional 2026,8th,Pelipper,Annihilape,Ursaluna,Sinistcha,Archaludon,Dragonite
In Person Event,Nikolaj Høj Nielsen,https://pokepast.es/9fd8a66821990d54,No,Frankfurt Regional 2026,9th,Incineroar,Annihilape,Ursaluna-Bloodmoon,Zoroark-Hisui,Maushold-Family-of-Four,Sinistcha
In Person Event,Julian Freund,https://pokepast.es/0b142e3d63ebb34d,No,Frankfurt Regional 2026,10th,Incineroar,Pelipper,Rillaboom,Sneasler,Gholdengo,Archaludon
In Person Event,Víctor Jiménez,https://pokepast.es/93cf29b240dd603e,No,Frankfurt Regional 2026,11th,Dondozo,Tatsugiri,Annihilape,Sneasler,Indeedee,Dragonite
In Person Event,Florian Hoffmann,https://pokepast.es/6a68a73959935007,No,Frankfurt Regional 2026,12th,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Giuseppe Alario,https://pokepast.es/a4f46a20c5987a96,No,Frankfurt Regional 2026,13th,Incineroar,Sneasler,Tyranitar,Corviknight,Gholdengo,Garchomp
In Person Event,Adam Cherfaoui,https://pokepast.es/11257b244748dd25,No,Frankfurt Regional 2026,14th,Volcarona,Basculegion,Rillaboom,Sneasler,Clefable,Kingambit
In Person Event,Lin Guli,https://pokepast.es/3d2e35aae291f603,Yes,Frankfurt Regional 2026,93rd,Gholdengo,Annihilape,Rillaboom,Dragonite,Ursaluna-Bloodmoon,Incineroar
In Person Event,Kwok Siu Wai,https://pokepast.es/a9be7aca321c70d4,No,Hong Kong Premier Ball League 2026,1st,Incineroar,Amoonguss,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Dragonite
In Person Event,Ng Shiu Chung,https://pokepast.es/631d85dd011b0f9b,No,Hong Kong Premier Ball League 2026,2nd,Talonflame,Electabuzz,Sneasler,Tyranitar,Ursaluna-Bloodmoon,Indeedee
In Person Event,Cheung Man Fung,https://pokepast.es/ea49520055915b47,No,Hong Kong Premier Ball League 2026,3rd,Incineroar,Kingdra,Politoed,Amoonguss,Gothitelle,Archaludon
In Person Event,Yuen Nga Hin,https://pokepast.es/7e919defb99d1fe1,No,Hong Kong Premier Ball League 2026,4th,Incineroar,Rillaboom,Sneasler,Tyranitar,Clefable,Gholdengo
In Person Event,Ng Tsz Sum,https://pokepast.es/c25fc116a94093c2,Yes,Hong Kong Premier Ball League 2026,5th,Pelipper,Annihilape,Sneasler,Indeedee,Whimsicott,Archaludon
In Person Event,Ma Chun Yeung,https://pokepast.es/d668ca86c0855978,No,Hong Kong Premier Ball League 2026,6th,Incineroar,Talonflame,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee
In Person Event,Hung Yeuk Lun,https://pokepast.es/f68a87aea9ce0839,No,Hong Kong Premier Ball League 2026,7th,Primarina,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Kingambit,Dragapult
In Person Event,Wayne Yu,https://pokepast.es/a45febfdf851930f,Yes,Hong Kong Premier Ball League 2026,8th,Incineroar,Annihilape,Ursaluna-Bloodmoon,Porygon2,Ninetales-Alola,Dragonite
In Person Event,Tam Ngai,https://pokepast.es/fb329bccb9420516,No,Hong Kong Premier Ball League 2026,9th,Incineroar,Talonflame,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee
In Person Event,Cheng Chun Hin,https://pokepast.es/d84b91e52f869e4c,No,Hong Kong Premier Ball League 2026,10th,Pelipper,Rillaboom,Annihilape,Ursaluna-Bloodmoon,Overqwil,Archaludon
In Person Event,Patrick Cheng,https://pokepast.es/23aadf608c73f0f4,No,Hong Kong Premier Ball League 2026,12th,Incineroar,Talonflame,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee
In Person Event,Leung Pak Hei,https://pokepast.es/809b958f665ba8d8,No,Hong Kong Premier Ball League 2026,13th,Blaziken,Incineroar,Skeledirge,Primarina,Rillaboom,Serperior
In Person Event,Anson Chan,https://pokepast.es/644433d64918b17d,No,Hong Kong Premier Ball League 2026,14th,Basculegion,Pelipper,Rillaboom,Grimmsnarl,Archaludon,Salamence
In Person Event,Tso Yuet Ho,https://pokepast.es/106ee224fc7e5873,No,Hong Kong Premier Ball League 2026,16th,Slowking,Abomasnow,Glaceon,Hariyama,Chandelure,Garchomp
In Person Event,Wolfe Glick,https://pokepast.es/d8d1dd4ad8f3522d,Yes,Toronto Regional 2025,1st,Incineroar,Kingdra,Politoed,Amoonguss,Gothitelle,Archaludon
In Person Event,Marco Silva,https://pokepast.es/68173335b941a2a0,Yes,Toronto Regional 2025,2nd,Charizard,Incineroar,Torkoal,Jumpluff,Ursaluna,Porygon2
In Person Event,Chuppa Cross IV,https://pokepast.es/ab5517a6346aa641,Yes,Toronto Regional 2025,3rd,Volcarona,Annihilape,Sneasler,Tyranitar,Ursaluna-Bloodmoon,Indeedee
In Person Event,Giovanni Costa,https://pokepast.es/42105ff00689d667,No,Toronto Regional 2025,4th,Incineroar,Sneasler,Whimsicott,Gholdengo,Dragonite,Garchomp
In Person Event,Benny Vasquez,https://pokepast.es/df4daef6c9477a99,No,Toronto Regional 2025,5th,Basculegion,Rillaboom,Sneasler,Magmar,Kingambit,Ninetales-Alola
In Person Event,Marcus Dion,https://pokepast.es/ab5517a6346aa641,Yes,Toronto Regional 2025,6th,Volcarona,Annihilape,Sneasler,Tyranitar,Ursaluna-Bloodmoon,Indeedee
In Person Event,Darsh Patel,https://pokepast.es/7c895260a273325b,No,Toronto Regional 2025,7th,Pelipper,Maushold-Family-of-Four,Gholdengo,Grimmsnarl,Archaludon,Dragonite
In Person Event,Luka Trejgut,https://pokepast.es/ef583d453e481086,No,Toronto Regional 2025,8th,Incineroar,Amoonguss,Annihilape,Gholdengo,Kingambit,Dragonite
In Person Event,Anthony Londergan,https://pokepast.es/a93e765a5d961a2f,Yes,Toronto Regional 2025,9th,Incineroar,Amoonguss,Ursaluna,Mienshao,Porygon2,Gholdengo
In Person Event,Justin Tang,https://pokepast.es/6c47d6708f5d941b,Yes,Toronto Regional 2025,10th,Arcanine-Hisui,Rillaboom,Sneasler,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,Noah Gardner,https://pokepast.es/667f95a5cc96c63d,No,Toronto Regional 2025,11th,Incineroar,Basculegion,Pelipper,Ursaluna,Sinistcha,Archaludon
In Person Event,Tang Shiliang,https://pokepast.es/6c47d6708f5d941b,Yes,Toronto Regional 2025,12th,Arcanine-Hisui,Rillaboom,Sneasler,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,Austin Choi,https://pokepast.es/aa69b925bbcacfbe,No,Toronto Regional 2025,13th,Incineroar,Pelipper,Ursaluna,Sinistcha,Archaludon,Dragonite
In Person Event,Cary D'Ortona,https://pokepast.es/5e40d121aa76254d,Yes,Toronto Regional 2025,14th,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Brian Collins,https://pokepast.es/9b441fc0493b62ab,Yes,Toronto Regional 2025,15th,Torkoal,Gallade,Ursaluna,Indeedee-F,Maushold-Family-of-Four,Hatterene
In Person Event,Jerry Woods III,https://pokepast.es/d3391cde37b9f122,Yes,Toronto Regional 2025,16th,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Jérémy Côté,https://pokepast.es/d848e53a7527538b,No,Toronto Regional 2025,17th,Incineroar,Amoonguss,Ursaluna,Porygon2,Gholdengo,Hydreigon
In Person Event,Daniel Marcelo Reyes,https://pokepast.es/9fe993e66235e34c,Yes,Toronto Regional 2025,18th,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Cedric Bernier,https://pokepast.es/0b3e858da5678bca,No,Toronto Regional 2025,19th,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Matthew So,https://pokepast.es/c88960bcb3423b7c,No,Toronto Regional 2025,20th,Volcarona,Basculegion,Rillaboom,Sneasler,Kingambit,Dragonite
In Person Event,Giovanni Araníbar,https://pokepast.es/482ddfe8682f15aa,No,Toronto Regional 2025,21th,Incineroar,Volcarona,Basculegion,Rillaboom,Annihilape,Tyranitar
In Person Event,Christopher H.,https://pokepast.es/a062330d7f1296c0,No,Toronto Regional 2025,22th,Incineroar,Amoonguss,Sneasler,Porygon2,Gholdengo,Dragonite
In Person Event,Alex Qian,https://pokepast.es/856b7e9fd1c78922,No,Toronto Regional 2025,23th,Incineroar,Talonflame,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee
In Person Event,Luke Kroll,https://pokepast.es/e59c8c52b597cafa,No,Toronto Regional 2025,24th,Incineroar,Milotic,Rillaboom,Ursaluna-Bloodmoon,Gholdengo,Dragonite
In Person Event,Eric Bush,https://pokepast.es/7abab419f9a5fa96,No,Toronto Regional 2025,25th,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Brian Fournier,https://pokepast.es/c258df4dda31a9f0,Yes,Toronto Regional 2025,39th,Ceruledge,Gyarados,Abomasnow,Sneasler,Kingambit,Garchomp
In Person Event,Matt Tidd,https://pokepast.es/5c006ccc2c41aa23,Yes,Toronto Regional 2025,41th,Volcarona,Primarina,Hariyama,Sinistcha,Kingambit,Garchomp
In Person Event,Dominic Vogel,https://pokepast.es/9079ce8a184d9107,Yes,Toronto Regional 2025,44th,Incineroar,Amoonguss,Kilowattrel,Ursaluna,Porygon2,Gholdengo
In Person Event,Fiona Szymkiewicz,https://pokepast.es/57813ac6119a9ffc,Yes,Toronto Regional 2025,51th,Incineroar,Primarina,Rillaboom,Annihilape,Gholdengo,Baxcalibur
In Person Event,Rowan Hall,https://pokepast.es/d438f9c87fcf695f,Yes,Toronto Regional 2025,56th,Rillaboom,Annihilape,Ursaluna-Bloodmoon,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,Norah Bowman,https://pokepast.es/3a28b2ef023c145c,Yes,Toronto Regional 2025,58th,Incineroar,Annihilape,Ursaluna,Indeedee-F,Gholdengo,Dragonite
In Person Event,Oliver Ramsay,https://pokepast.es/3f5a3379ac991a00,Yes,Perth Regional 2025,1st,Incineroar,Amoonguss,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Dragonite
In Person Event,Dimitri Koziaris,https://pokepast.es/bec59d2a189eb469,Yes,Perth Regional 2025,2nd,Incineroar,Amoonguss,Kilowattrel,Ursaluna,Porygon2,Gholdengo
In Person Event,Lin Guli,https://pokepast.es/2f33d2a0fff02576,Yes,Perth Regional 2025,3rd,Incineroar,Amoonguss,Ursaluna,Porygon2,Gholdengo,Dragonite
In Person Event,Joji Kaieda,https://pokepast.es/2227d7b14724e032,No,Perth Regional 2025,4th,Incineroar,Pelipper,Ursaluna,Sinistcha,Archaludon,Dragonite
In Person Event,Guntur Prabowo,https://pokepast.es/7f65403435db4d87,Yes,Perth Regional 2025,5th,Gyarados,Amoonguss,Excadrill,Tyranitar,Gholdengo,Dragonite
In Person Event,Kiran Singh,https://pokepast.es/f621a40b159e2d28,Yes,Perth Regional 2025,6th,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Christian Mossati,https://pokepast.es/d43d80032467eff2,No,Perth Regional 2025,7th,Incineroar,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee,Dragonite
In Person Event,Peter Vowles,https://pokepast.es/1b3951d73799846b,No,Perth Regional 2025,8th,Volcarona,Dondozo,Rillaboom,Electabuzz,Sneasler,Kingambit
In Person Event,Bryce Facey,https://pokepast.es/433daf9f90a43059,No,Perth Regional 2025,9th,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Sam Pandelis,https://pokepast.es/04111e0f66d461a3,No,Perth Regional 2025,10th,Armarouge,Talonflame,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee
In Person Event,Yoav Reuven,https://pokepast.es/0992138ca0ccf48d,No,Perth Regional 2025,11th,Incineroar,Rillaboom,Annihilape,Sneasler,Gholdengo,Dragonite
In Person Event,Lewis Tan,https://pokepast.es/86ea673ea5d1f8bc,No,Perth Regional 2025,12th,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Martín Pérez,https://pokepast.es/4443b23ea8bf7688,No,Perth Regional 2025,13th,Armarouge,Torkoal,Lilligant-Hisui,Ursaluna,Indeedee-F,Hatterene
In Person Event,Dicky Nicholas,https://pokepast.es/6c21605e583c1e91,No,Perth Regional 2025,14th,Annihilape,Ursaluna-Bloodmoon,Magmar,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,Masayoshi Kuroo,https://pokepast.es/4b29e55ae04c2f1c,No,Perth Regional 2025,15th,Basculegion,Pelipper,Ursaluna-Bloodmoon,Farigiraf,Sinistcha,Archaludon
In Person Event,Liu Genting,https://pokepast.es/d564ab8308e042a9,No,Perth Regional 2025,16th,Talonflame,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee,Dragonite
In Person Event,Reynaldo Boles,https://pokepast.es/436113610682ae08,Yes,Perth Regional 2025,32th,Incineroar,Amoonguss,Excadrill,Tyranitar,Reuniclus,Kommo-o
In Person Event,Kevin Ngim,https://pokepast.es/9ea43c32869cfd78,No,Malaysia Premier Ball League 2025,1st,Incineroar,Amoonguss,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Dragonite
In Person Event,Dennis Sia,https://pokepast.es/ac5ec3294284a619,No,Malaysia Premier Ball League 2025,2nd,Pelipper,Rillaboom,Annihilape,Gholdengo,Grimmsnarl,Archaludon
In Person Event,Izzat Hafiz,https://pokepast.es/451b6c6018c1e06e,No,Malaysia Premier Ball League 2025,3rd,Incineroar,Rotom-Wash,Weezing,Sinistcha,Corviknight,Dragonite
