 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 102  | Espathra           |  0.05514% | 463    |  0.461% | 198    |  0.428% | 
 | 103  | Azumarill          |  0.05197% | 534    |  0.532% | 254    |  0.549% | 
 | 104  | Meowscarada        |  0.05191% | 1595   |  1.589% | 729    |  1.575% | 
 | 105  | Rotom-Heat         |  0.04803% | 153    |  0.152% | 73     |  0.158% | 
 | 106  | Rhydon             |  0.04792% | 54     |  0.054% | 20     |  0.043% | 
 | 107  | Tauros-Paldea-Blaze |  0.04704% | 436    |  0.434% | 185    |  0.400% | 
 | 108  | Yanmega            |  0.04482% | 622    |  0.620% | 206    |  0.445% | 
 | 109  | Oranguru           |  0.04379% | 430    |  0.428% | 169    |  0.365% | 
 | 110  | Torterra           |  0.04211% | 158    |  0.157% | 65     |  0.140% | 
 | 111  | Crabominable       |  0.04178% | 64     |  0.064% | 30     |  0.065% | 
 | 112  | Houndstone         |  0.04145% | 264    |  0.263% | 109    |  0.235% | 
 | 113  | Bruxish            |  0.04117% | 89     |  0.089% | 40     |  0.086% | 
 | 114  | Weezing            |  0.03900% | 610    |  0.608% | 228    |  0.492% | 
 | 115  | Hippowdon          |  0.03867% | 106    |  0.106% | 48     |  0.104% | 
 | 116  | Reuniclus          |  0.03604% | 160    |  0.159% | 69     |  0.149% | 
 | 117  | Frosmoth           |  0.03580% | 408    |  0.406% | 178    |  0.384% | 
 | 118  | Bronzong           |  0.03504% | 1299   |  1.294% | 468    |  1.011% | 
 | 119  | Porygon-Z          |  0.03359% | 314    |  0.313% | 160    |  0.346% | 
 | 120  | Krookodile         |  0.03227% | 227    |  0.226% | 94     |  0.203% | 
 | 121  | Gliscor            |  0.03168% | 695    |  0.692% | 304    |  0.657% | 
 | 122  | Cryogonal          |  0.02940% | 114    |  0.114% | 37     |  0.080% | 
 | 123  | Mandibuzz          |  0.02516% | 281    |  0.280% | 128    |  0.276% | 
 | 124  | Infernape          |  0.02510% | 117    |  0.117% | 58     |  0.125% | 
 | 125  | Ceruledge          |  0.02443% | 1009   |  1.005% | 426    |  0.920% | 
 | 126  | Ninetales          |  0.02370% | 345    |  0.344% | 161    |  0.348% | 
 | 127  | Vikavolt           |  0.02228% | 322    |  0.321% | 131    |  0.283% | 
 | 128  | Basculegion-F      |  0.02099% | 326    |  0.325% | 170    |  0.367% | 
 | 129  | Sneasel            |  0.01897% | 24     |  0.024% | 3      |  0.006% | 
 | 130  | Malamar            |  0.01891% | 205    |  0.204% | 83     |  0.179% | 
 | 131  | Lycanroc           |  0.01811% | 278    |  0.277% | 113    |  0.244% | 
 | 132  | Cyclizar           |  0.01698% | 149    |  0.148% | 72     |  0.156% | 
 | 133  | Mienshao           |  0.01672% | 332    |  0.331% | 127    |  0.274% | 
 | 134  | Toxtricity         |  0.01654% | 652    |  0.650% | 311    |  0.672% | 
 | 135  | Chesnaught         |  0.01646% | 147    |  0.146% | 45     |  0.097% | 
 | 136  | Braviary           |  0.01627% | 138    |  0.137% | 67     |  0.145% | 
 | 137  | Drednaw            |  0.01594% | 72     |  0.072% | 28     |  0.060% | 
 | 138  | Rampardos          |  0.01541% | 126    |  0.126% | 57     |  0.123% | 
 | 139  | Cloyster           |  0.01502% | 86     |  0.086% | 24     |  0.052% | 
 | 140  | Bellibolt          |  0.01490% | 275    |  0.274% | 103    |  0.222% | 
 | 141  | Serperior          |  0.01476% | 610    |  0.608% | 294    |  0.635% | 
 | 142  | Scyther            |  0.01450% | 144    |  0.143% | 47     |  0.102% | 
 | 143  | Espeon             |  0.01420% | 283    |  0.282% | 122    |  0.263% | 
 | 144  | Gengar             |  0.01385% | 1040   |  1.036% | 353    |  0.762% | 
 | 145  | Haxorus            |  0.01375% | 130    |  0.130% | 58     |  0.125% | 
 | 146  | Persian-Alola      |  0.01348% | 29     |  0.029% | 12     |  0.026% | 
 | 147  | Jolteon            |  0.01344% | 263    |  0.262% | 102    |  0.220% | 
 | 148  | Slowbro            |  0.01335% | 161    |  0.160% | 77     |  0.166% | 
 | 149  | Galvantula         |  0.01296% | 51     |  0.051% | 21     |  0.045% | 
 | 150  | Hydrapple          |  0.01278% | 589    |  0.587% | 279    |  0.603% | 
 | 151  | Camerupt           |  0.01278% | 32     |  0.032% | 11     |  0.024% | 
 | 152  | Lapras             |  0.01264% | 891    |  0.888% | 588    |  1.270% | 
 | 153  | Flapple            |  0.01262% | 90     |  0.090% | 57     |  0.123% | 
 | 154  | Dudunsparce        |  0.01255% | 197    |  0.196% | 65     |  0.140% | 
 | 155  | Samurott-Hisui     |  0.01248% | 582    |  0.580% | 292    |  0.631% | 
 | 156  | Golurk             |  0.01190% | 783    |  0.780% | 399    |  0.862% | 
 | 157  | Lurantis           |  0.01118% | 95     |  0.095% | 45     |  0.097% | 
 | 158  | Mamoswine          |  0.01103% | 376    |  0.375% | 205    |  0.443% | 
 | 159  | Venusaur           |  0.01102% | 531    |  0.529% | 227    |  0.490% | 
 | 160  | Cinderace          |  0.01067% | 251    |  0.250% | 112    |  0.242% | 
 | 161  | Lucario            |  0.01059% | 227    |  0.226% | 68     |  0.147% | 
 | 162  | Perrserker         |  0.01024% | 202    |  0.201% | 98     |  0.212% | 
 | 163  | Snorlax            |  0.01001% | 277    |  0.276% | 110    |  0.238% | 
 | 164  | Magmortar          |  0.00992% | 41     |  0.041% | 8      |  0.017% | 
 | 165  | Stantler           |  0.00991% | 16     |  0.016% | 6      |  0.013% | 
 | 166  | Altaria            |  0.00930% | 344    |  0.343% | 129    |  0.279% | 
 | 167  | Quaquaval          |  0.00845% | 329    |  0.328% | 154    |  0.333% | 
 | 168  | Overqwil           |  0.00821% | 313    |  0.312% | 126    |  0.272% | 
 | 169  | Brambleghast       |  0.00820% | 162    |  0.161% | 64     |  0.138% | 
 | 170  | Ludicolo           |  0.00789% | 151    |  0.150% | 79     |  0.171% | 
 | 171  | Empoleon           |  0.00747% | 395    |  0.394% | 188    |  0.406% | 
 | 172  | Swampert           |  0.00719% | 226    |  0.225% | 91     |  0.197% | 
 | 173  | Salazzle           |  0.00690% | 233    |  0.232% | 98     |  0.212% | 
 | 174  | Conkeldurr         |  0.00659% | 272    |  0.271% | 140    |  0.302% | 
 | 175  | Golduck            |  0.00620% | 133    |  0.132% | 53     |  0.114% | 
 | 176  | Slowbro-Galar      |  0.00611% | 125    |  0.125% | 53     |  0.114% | 
 | 177  | Crawdaunt          |  0.00593% | 48     |  0.048% | 31     |  0.067% | 
 | 178  | Glaceon            |  0.00541% | 459    |  0.457% | 176    |  0.380% | 
 | 179  | Oricorio-Pom-Pom   |  0.00529% | 76     |  0.076% | 31     |  0.067% | 
 | 180  | Duraludon          |  0.00487% | 135    |  0.134% | 54     |  0.117% | 
 | 181  | Slaking            |  0.00484% | 394    |  0.393% | 209    |  0.451% | 
 | 182  | Trevenant          |  0.00480% | 90     |  0.090% | 35     |  0.076% | 
 | 183  | Electrode-Hisui    |  0.00457% | 223    |  0.222% | 62     |  0.134% | 
 | 184  | Staraptor          |  0.00448% | 122    |  0.122% | 55     |  0.119% | 
 | 185  | Sentret            |  0.00439% | 34     |  0.034% | 4      |  0.009% | 
 | 186  | Gardevoir          |  0.00427% | 558    |  0.556% | 265    |  0.572% | 
 | 187  | Shiftry            |  0.00419% | 181    |  0.180% | 82     |  0.177% | 
 | 188  | Wyrdeer            |  0.00410% | 95     |  0.095% | 42     |  0.091% | 
 | 189  | Oricorio-Sensu     |  0.00402% | 143    |  0.142% | 71     |  0.153% | 
 | 190  | Appletun           |  0.00398% | 119    |  0.119% | 42     |  0.091% | 
 | 191  | Tropius            |  0.00340% | 24     |  0.024% | 8      |  0.017% | 
 | 192  | Grafaiai           |  0.00329% | 187    |  0.186% | 57     |  0.123% | 
 | 193  | Slowpoke           |  0.00308% | 19     |  0.019% | 9      |  0.019% | 
 | 194  | Bisharp            |  0.00301% | 97     |  0.097% | 52     |  0.112% | 
 | 195  | Clawitzer          |  0.00287% | 115    |  0.115% | 47     |  0.102% | 
 | 196  | Slowking-Galar     |  0.00270% | 247    |  0.246% | 131    |  0.283% | 
 | 197  | Mudsdale           |  0.00265% | 57     |  0.057% | 22     |  0.048% | 
 | 198  | Barraskewda        |  0.00250% | 311    |  0.310% | 143    |  0.309% | 
 | 199  | Umbreon            |  0.00247% | 259    |  0.258% | 79     |  0.171% | 
 | 200  | Lumineon           |  0.00243% | 21     |  0.021% | 3      |  0.006% | 
 | 201  | Inteleon           |  0.00239% | 528    |  0.526% | 266    |  0.575% | 
 | 202  | Clodsire           |  0.00237% | 171    |  0.170% | 52     |  0.112% | 
 | 203  | Toxicroak          |  0.00236% | 136    |  0.135% | 66     |  0.143% | 
 | 204  | Muk-Alola          |  0.00236% | 184    |  0.183% | 74     |  0.160% | 
 | 205  | Tentacruel         |  0.00231% | 30     |  0.030% | 11     |  0.024% | 
 | 206  | Abomasnow          |  0.00231% | 298    |  0.297% | 121    |  0.261% | 
 | 207  | Hariyama           |  0.00226% | 296    |  0.295% | 136    |  0.294% | 
 | 208  | Grumpig            |  0.00200% | 61     |  0.061% | 5      |  0.011% | 
 | 209  | Polteageist        |  0.00188% | 41     |  0.041% | 15     |  0.032% | 
 | 210  | Lycanroc-Dusk      |  0.00184% | 70     |  0.070% | 26     |  0.056% | 
 | 211  | Avalugg-Hisui      |  0.00184% | 37     |  0.037% | 17     |  0.037% | 
 | 212  | Grotle             |  0.00180% | 10     |  0.010% | 3      |  0.006% | 
 | 213  | Bayleef            |  0.00175% | 7      |  0.007% | 4      |  0.009% | 
 | 214  | Golem-Alola        |  0.00173% | 99     |  0.099% | 44     |  0.095% | 
 | 215  | Dugtrio            |  0.00166% | 78     |  0.078% | 29     |  0.063% | 
 | 216  | Rabsca             |  0.00165% | 70     |  0.070% | 27     |  0.058% | 
 | 217  | Ditto              |  0.00164% | 127    |  0.127% | 56     |  0.121% | 
 | 218  | Tsareena           |  0.00158% | 263    |  0.262% | 88     |  0.190% | 
 | 219  | Avalugg            |  0.00151% | 50     |  0.050% | 13     |  0.028% | 
 | 220  | Typhlosion         |  0.00144% | 172    |  0.171% | 95     |  0.205% | 
 | 221  | Pikachu            |  0.00138% | 75     |  0.075% | 37     |  0.080% | 
 | 222  | Alcremie           |  0.00135% | 184    |  0.183% | 67     |  0.145% | 
 | 223  | Forretress         |  0.00132% | 75     |  0.075% | 19     |  0.041% | 
 | 224  | Noivern            |  0.00132% | 588    |  0.586% | 198    |  0.428% | 
 | 225  | Coalossal          |  0.00123% | 228    |  0.227% | 115    |  0.248% | 
 | 226  | Lilligant          |  0.00116% | 49     |  0.049% | 26     |  0.056% | 
 | 227  | Feraligatr         |  0.00110% | 111    |  0.111% | 39     |  0.084% | 
 | 228  | Volbeat            |  0.00104% | 90     |  0.090% | 42     |  0.091% | 
 | 229  | Braviary-Hisui     |  0.00102% | 187    |  0.186% | 75     |  0.162% | 
 | 230  | Cacturne           |  0.00100% | 35     |  0.035% | 14     |  0.030% | 
 | 231  | Slowking           |  0.00098% | 145    |  0.144% | 70     |  0.151% | 
 | 232  | Qwilfish-Hisui     |  0.00088% | 85     |  0.085% | 20     |  0.043% | 
 | 233  | Scovillain         |  0.00083% | 182    |  0.181% | 75     |  0.162% | 
 | 234  | Beartic            |  0.00078% | 185    |  0.184% | 81     |  0.175% | 
 | 235  | Froslass           |  0.00067% | 75     |  0.075% | 24     |  0.052% | 
 | 236  | Veluza             |  0.00067% | 17     |  0.017% | 8      |  0.017% | 
 | 237  | Cinccino           |  0.00066% | 99     |  0.099% | 41     |  0.089% | 
 | 238  | Ambipom            |  0.00062% | 131    |  0.131% | 65     |  0.140% | 
 | 239  | Ampharos           |  0.00061% | 111    |  0.111% | 50     |  0.108% | 
 | 240  | Zoroark            |  0.00056% | 32     |  0.032% | 9      |  0.019% | 
 | 241  | Meowstic           |  0.00055% | 176    |  0.175% | 69     |  0.149% | 
 | 242  | Toxapex            |  0.00053% | 204    |  0.203% | 73     |  0.158% | 
 | 243  | Rotom-Frost        |  0.00053% | 148    |  0.147% | 78     |  0.168% | 
 | 244  | Leafeon            |  0.00050% | 44     |  0.044% | 20     |  0.043% | 
 | 245  | Palossand          |  0.00048% | 69     |  0.069% | 20     |  0.043% | 
 | 246  | Exeggutor-Alola    |  0.00042% | 122    |  0.122% | 48     |  0.104% | 
 | 247  | Emboar             |  0.00037% | 60     |  0.060% | 32     |  0.069% | 
 | 248  | Wugtrio            |  0.00033% | 13     |  0.013% | 5      |  0.011% | 
 | 249  | Rhyperior          |  0.00031% | 166    |  0.165% | 79     |  0.171% | 
 | 250  | Gothorita          |  0.00031% | 12     |  0.012% | 3      |  0.006% | 
 | 251  | Raichu-Alola       |  0.00031% | 99     |  0.099% | 52     |  0.112% | 
 | 252  | Goodra             |  0.00031% | 40     |  0.040% | 19     |  0.041% | 
 | 253  | Delibird           |  0.00028% | 35     |  0.035% | 5      |  0.011% | 
 | 254  | Cramorant          |  0.00026% | 61     |  0.061% | 19     |  0.041% | 
 | 255  | Minior             |  0.00026% | 61     |  0.061% | 23     |  0.050% | 
 | 256  | Hypno              |  0.00025% | 23     |  0.023% | 5      |  0.011% | 
 | 257  | Gogoat             |  0.00025% | 8      |  0.008% | 2      |  0.004% | 
 | 258  | Swanna             |  0.00024% | 12     |  0.012% | 7      |  0.015% | 
 | 259  | Sandslash-Alola    |  0.00021% | 56     |  0.056% | 27     |  0.058% | 
 | 260  | Dipplin            |  0.00021% | 50     |  0.050% | 16     |  0.035% | 
 | 261  | Heracross          |  0.00021% | 132    |  0.132% | 76     |  0.164% | 
 | 262  | Hitmontop          |  0.00020% | 265    |  0.264% | 93     |  0.201% | 
 | 263  | Sunflora           |  0.00020% | 26     |  0.026% | 10     |  0.022% | 
 | 264  | Mismagius          |  0.00018% | 17     |  0.017% | 4      |  0.009% | 
 | 265  | Mabosstiff         |  0.00016% | 24     |  0.024% | 9      |  0.019% | 
 | 266  | Probopass          |  0.00016% | 14     |  0.014% | 2      |  0.004% | 
 | 267  | Magnezone          |  0.00016% | 173    |  0.172% | 64     |  0.138% | 
 | 268  | Bastiodon          |  0.00015% | 162    |  0.161% | 62     |  0.134% | 
 | 269  | Flygon             |  0.00013% | 127    |  0.127% | 58     |  0.125% | 
 | 270  | Bellossom          |  0.00012% | 15     |  0.015% | 7      |  0.015% | 
 | 271  | Skarmory           |  0.00011% | 45     |  0.045% | 15     |  0.032% | 
 | 272  | Bombirdier         |  0.00011% | 34     |  0.034% | 15     |  0.032% | 
 | 273  | Pachirisu          |  0.00011% | 40     |  0.040% | 13     |  0.028% | 
 | 274  | Dusknoir           |  0.00010% | 23     |  0.023% | 10     |  0.022% | 
 | 275  | Florges            |  0.00010% | 68     |  0.068% | 25     |  0.054% | 
 | 276  | Blissey            |  0.00009% | 82     |  0.082% | 26     |  0.056% | 
 | 277  | Sneasel-Hisui      |  0.00008% | 7      |  0.007% | 1      |  0.002% | 
 | 278  | Riolu              |  0.00008% | 118    |  0.118% | 45     |  0.097% | 
 | 279  | Vaporeon           |  0.00008% | 194    |  0.193% | 64     |  0.138% | 
 | 280  | Spewpa             |  0.00008% | 2      |  0.002% | 1      |  0.002% | 
 | 281  | Illumise           |  0.00007% | 117    |  0.117% | 59     |  0.127% | 
 | 282  | Charjabug          |  0.00007% | 38     |  0.038% | 14     |  0.030% | 
 | 283  | Tauros-Paldea-Combat |  0.00007% | 10     |  0.010% | 4      |  0.009% | 
 | 284  | Revavroom          |  0.00005% | 34     |  0.034% | 10     |  0.022% | 
 | 285  | Poliwrath          |  0.00005% | 62     |  0.062% | 34     |  0.073% | 
 | 286  | Pincurchin         |  0.00005% | 266    |  0.265% | 88     |  0.190% | 
 | 287  | Wigglytuff         |  0.00005% | 24     |  0.024% | 9      |  0.019% | 
 | 288  | Sudowoodo          |  0.00004% | 1      |  0.001% | 1      |  0.002% | 
 | 289  | Sandshrew          |  0.00004% | 1      |  0.001% | 0      |  0.000% | 
 | 290  | Qwilfish           |  0.00004% | 1      |  0.001% | 0      |  0.000% | 
 | 291  | Falinks            |  0.00004% | 38     |  0.038% | 10     |  0.022% | 
 | 292  | Venomoth           |  0.00004% | 32     |  0.032% | 12     |  0.026% | 
 | 293  | Noctowl            |  0.00004% | 4      |  0.004% | 0      |  0.000% | 
 | 294  | Electrode          |  0.00004% | 9      |  0.009% | 2      |  0.004% | 
 | 295  | Sceptile           |  0.00003% | 90     |  0.090% | 45     |  0.097% | 
 | 296  | Dachsbun           |  0.00003% | 107    |  0.107% | 52     |  0.112% | 
 | 297  | Gumshoos           |  0.00003% | 19     |  0.019% | 10     |  0.022% | 
 | 298  | Houndoom           |  0.00003% | 36     |  0.036% | 16     |  0.035% | 
 | 299  | Magneton           |  0.00003% | 38     |  0.038% | 12     |  0.026% | 
 | 300  | Electivire         |  0.00002% | 178    |  0.177% | 85     |  0.184% | 
 | 301  | Duskull            |  0.00002% | 5      |  0.005% | 2      |  0.004% | 
 | 302  | Glalie             |  0.00002% | 15     |  0.015% | 4      |  0.009% | 
 | 303  | Stonjourner        |  0.00002% | 74     |  0.074% | 27     |  0.058% | 
 | 304  | Misdreavus         |  0.00002% | 42     |  0.042% | 22     |  0.048% | 
 | 305  | Eiscue             |  0.00002% | 28     |  0.028% | 9      |  0.019% | 
 | 306  | Golem              |  0.00002% | 8      |  0.008% | 6      |  0.013% | 
 | 307  | Dragalge           |  0.00001% | 79     |  0.079% | 34     |  0.073% | 
 | 308  | Spidops            |  0.00001% | 4      |  0.004% | 1      |  0.002% | 
 | 309  | Jigglypuff         |  0.00001% | 16     |  0.016% | 7      |  0.015% | 
 | 310  | Primeape           |  0.00001% | 120    |  0.120% | 48     |  0.104% | 
 | 311  | Eelektross         |  0.00001% | 30     |  0.030% | 11     |  0.024% | 
 | 312  | Furret             |  0.00001% | 13     |  0.013% | 9      |  0.019% | 
 | 313  | Medicham           |  0.00001% | 99     |  0.099% | 51     |  0.110% | 
 | 314  | Floatzel           |  0.00001% | 36     |  0.036% | 17     |  0.037% | 
 | 315  | Corphish           |  0.00001% | 1      |  0.001% | 1      |  0.002% | 
 | 316  | Yanma              |  0.00001% | 40     |  0.040% | 13     |  0.028% | 
 | 317  | Rotom-Mow          |  0.00001% | 45     |  0.045% | 17     |  0.037% | 
 | 318  | Klawf              |  0.00001% | 13     |  0.013% | 3      |  0.006% | 
 | 319  | Quagsire           |  0.00001% | 29     |  0.029% | 10     |  0.022% | 
 | 320  | Zebstrika          |  0.00001% | 25     |  0.025% | 5      |  0.011% | 
 | 321  | Dodrio             |  0.00001% | 16     |  0.016% | 5      |  0.011% | 
 | 322  | Dewgong            |  0.00000% | 20     |  0.020% | 6      |  0.013% | 
 | 323  | Carbink            |  0.00000% | 89     |  0.089% | 25     |  0.054% | 
 | 324  | Greedent           |  0.00000% | 45     |  0.045% | 31     |  0.067% | 
