 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 36   | Talonflame         |  2.90373% | 18291  |  4.016% | 6245   |  2.934% | 
 | 37   | Hatterene          |  2.81387% | 16241  |  3.566% | 7598   |  3.569% | 
 | 38   | Jumpluff           |  2.59334% | 13340  |  2.929% | 4868   |  2.287% | 
 | 39   | Charizard          |  2.20397% | 14305  |  3.141% | 6375   |  2.995% | 
 | 40   | Kommo-o            |  1.97108% | 14634  |  3.213% | 5956   |  2.798% | 
 | 41   | Hydreigon          |  1.95852% | 14924  |  3.277% | 5929   |  2.785% | 
 | 42   | Garganacl          |  1.79939% | 7479   |  1.642% | 3666   |  1.722% | 
 | 43   | Arcanine-Hisui     |  1.75140% | 19954  |  4.381% | 8841   |  4.153% | 
 | 44   | Flamigo            |  1.70211% | 6751   |  1.482% | 3043   |  1.429% | 
 | 45   | Corviknight        |  1.64149% | 12128  |  2.663% | 4999   |  2.348% | 
 | 46   | Salamence          |  1.58453% | 4883   |  1.072% | 2086   |  0.980% | 
 | 47   | Scyther            |  1.53664% | 4449   |  0.977% | 1894   |  0.890% | 
 | 48   | Zoroark-Hisui      |  1.37751% | 11874  |  2.607% | 3608   |  1.695% | 
 | 49   | Ribombee           |  1.27497% | 6471   |  1.421% | 2261   |  1.062% | 
 | 50   | Gallade            |  1.19692% | 13473  |  2.958% | 6234   |  2.928% | 
 | 51   | Clefable           |  1.08696% | 4111   |  0.903% | 1590   |  0.747% | 
 | 52   | Smeargle           |  1.05207% | 5589   |  1.227% | 2338   |  1.098% | 
 | 53   | Weezing-Galar      |  1.02439% | 7114   |  1.562% | 2889   |  1.357% | 
 | 54   | Dusclops           |  1.02194% | 3400   |  0.746% | 1195   |  0.561% | 
 | 55   | Baxcalibur         |  0.95003% | 9193   |  2.018% | 4091   |  1.922% | 
 | 56   | Blaziken           |  0.91596% | 6991   |  1.535% | 3191   |  1.499% | 
 | 57   | Excadrill          |  0.89732% | 13794  |  3.029% | 6846   |  3.216% | 
 | 58   | Toedscruel         |  0.80859% | 4401   |  0.966% | 1734   |  0.815% | 
 | 59   | Murkrow            |  0.78557% | 11561  |  2.538% | 4455   |  2.093% | 
 | 60   | Magmortar          |  0.64658% | 639    |  0.140% | 359    |  0.169% | 
 | 61   | Tauros-Paldea-Aqua |  0.64258% | 3015   |  0.662% | 1412   |  0.663% | 
 | 62   | Tsareena           |  0.62764% | 1640   |  0.360% | 552    |  0.259% | 
 | 63   | Tauros-Paldea-Blaze |  0.56624% | 2573   |  0.565% | 1188   |  0.558% | 
 | 64   | Chandelure         |  0.56062% | 2359   |  0.518% | 1183   |  0.556% | 
 | 65   | Venusaur           |  0.55685% | 2102   |  0.462% | 909    |  0.427% | 
 | 66   | Weavile            |  0.53229% | 3437   |  0.755% | 1359   |  0.638% | 
 | 67   | Armarouge          |  0.53221% | 9678   |  2.125% | 5187   |  2.437% | 
 | 68   | Exeggutor          |  0.47279% | 3226   |  0.708% | 1383   |  0.650% | 
 | 69   | Glimmora           |  0.45748% | 6201   |  1.361% | 2692   |  1.265% | 
 | 70   | Sableye            |  0.44359% | 1887   |  0.414% | 660    |  0.310% | 
 | 71   | Palafin            |  0.43071% | 4145   |  0.910% | 2168   |  1.018% | 
 | 72   | Dachsbun           |  0.37755% | 1057   |  0.232% | 519    |  0.244% | 
 | 73   | Weezing            |  0.32714% | 3257   |  0.715% | 1381   |  0.649% | 
 | 74   | Gothitelle         |  0.31382% | 7431   |  1.632% | 3534   |  1.660% | 
 | 75   | Meowscarada        |  0.28723% | 3629   |  0.797% | 1675   |  0.787% | 
 | 76   | Greninja           |  0.26591% | 3496   |  0.768% | 1261   |  0.592% | 
 | 77   | Metagross          |  0.23273% | 2653   |  0.582% | 1166   |  0.548% | 
 | 78   | Espathra           |  0.23218% | 4119   |  0.904% | 1787   |  0.839% | 
 | 79   | Rotom-Wash         |  0.21512% | 1540   |  0.338% | 589    |  0.277% | 
 | 80   | Golduck            |  0.21066% | 1439   |  0.316% | 489    |  0.230% | 
 | 81   | Kingdra            |  0.20475% | 5490   |  1.205% | 2616   |  1.229% | 
 | 82   | Gyarados           |  0.20263% | 3532   |  0.775% | 1462   |  0.687% | 
 | 83   | Vivillon           |  0.19801% | 1693   |  0.372% | 621    |  0.292% | 
 | 84   | Politoed           |  0.19150% | 6845   |  1.503% | 4222   |  1.983% | 
 | 85   | Alomomola          |  0.18743% | 93     |  0.020% | 39     |  0.018% | 
 | 86   | Rotom-Heat         |  0.18228% | 642    |  0.141% | 297    |  0.140% | 
 | 87   | Sylveon            |  0.18050% | 3264   |  0.717% | 1298   |  0.610% | 
 | 88   | Ceruledge          |  0.17399% | 2776   |  0.609% | 1250   |  0.587% | 
 | 89   | Salazzle           |  0.16272% | 451    |  0.099% | 207    |  0.097% | 
 | 90   | Slaking            |  0.15823% | 3045   |  0.669% | 1403   |  0.659% | 
 | 91   | Mamoswine          |  0.15623% | 1816   |  0.399% | 911    |  0.428% | 
 | 92   | Klefki             |  0.14995% | 2713   |  0.596% | 1019   |  0.479% | 
 | 93   | Gengar             |  0.14530% | 2251   |  0.494% | 887    |  0.417% | 
 | 94   | Pawmot             |  0.13714% | 2217   |  0.487% | 1064   |  0.500% | 
 | 95   | Gastrodon          |  0.13174% | 4594   |  1.009% | 1686   |  0.792% | 
 | 96   | Delphox            |  0.12488% | 2971   |  0.652% | 1485   |  0.698% | 
 | 97   | Alcremie           |  0.12037% | 424    |  0.093% | 146    |  0.069% | 
 | 98   | Malamar            |  0.11701% | 1737   |  0.381% | 745    |  0.350% | 
 | 99   | Hippowdon          |  0.10801% | 444    |  0.097% | 203    |  0.095% | 
 | 100  | Clefairy           |  0.10678% | 2638   |  0.579% | 1106   |  0.520% | 
 | 101  | Milotic            |  0.10385% | 4377   |  0.961% | 1671   |  0.785% | 
 | 102  | Arcanine           |  0.10124% | 1324   |  0.291% | 536    |  0.252% | 
 | 103  | Lucario            |  0.08957% | 1202   |  0.264% | 508    |  0.239% | 
 | 104  | Lycanroc           |  0.08739% | 935    |  0.205% | 460    |  0.216% | 
 | 105  | Quaquaval          |  0.07481% | 1163   |  0.255% | 529    |  0.248% | 
 | 106  | Decidueye-Hisui    |  0.06452% | 2288   |  0.502% | 1036   |  0.487% | 
 | 107  | Bruxish            |  0.06378% | 277    |  0.061% | 103    |  0.048% | 
 | 108  | Orthworm           |  0.06289% | 709    |  0.156% | 291    |  0.137% | 
 | 109  | Serperior          |  0.06210% | 1624   |  0.357% | 729    |  0.342% | 
 | 110  | Electrode-Hisui    |  0.06080% | 1098   |  0.241% | 423    |  0.199% | 
 | 111  | Kleavor            |  0.06022% | 1563   |  0.343% | 774    |  0.364% | 
 | 112  | Scizor             |  0.05923% | 1490   |  0.327% | 613    |  0.288% | 
 | 113  | Chesnaught         |  0.05463% | 773    |  0.170% | 310    |  0.146% | 
 | 114  | Hariyama           |  0.05318% | 2621   |  0.575% | 1157   |  0.544% | 
 | 115  | Blastoise          |  0.04738% | 1609   |  0.353% | 674    |  0.317% | 
 | 116  | Azumarill          |  0.04381% | 1312   |  0.288% | 536    |  0.252% | 
 | 117  | Samurott-Hisui     |  0.04252% | 1495   |  0.328% | 713    |  0.335% | 
 | 118  | Drifblim           |  0.04203% | 1847   |  0.406% | 746    |  0.350% | 
 | 119  | Oricorio-Sensu     |  0.04076% | 2571   |  0.564% | 1312   |  0.616% | 
 | 120  | Ninetales          |  0.04069% | 2520   |  0.553% | 1223   |  0.575% | 
 | 121  | Espeon             |  0.03766% | 1114   |  0.245% | 498    |  0.234% | 
 | 122  | Mienshao           |  0.03694% | 1085   |  0.238% | 402    |  0.189% | 
 | 123  | Bisharp            |  0.03645% | 196    |  0.043% | 83     |  0.039% | 
 | 124  | Mimikyu            |  0.03543% | 1229   |  0.270% | 493    |  0.232% | 
 | 125  | Altaria            |  0.03537% | 542    |  0.119% | 197    |  0.093% | 
 | 126  | Empoleon           |  0.03524% | 1544   |  0.339% | 646    |  0.303% | 
 | 127  | Scrafty            |  0.03475% | 978    |  0.215% | 458    |  0.215% | 
 | 128  | Yanmega            |  0.03209% | 983    |  0.216% | 340    |  0.160% | 
 | 129  | Lurantis           |  0.03194% | 187    |  0.041% | 94     |  0.044% | 
 | 130  | Comfey             |  0.03115% | 1497   |  0.329% | 655    |  0.308% | 
 | 131  | Toxtricity         |  0.03108% | 1860   |  0.408% | 933    |  0.438% | 
 | 132  | Tinkaton           |  0.02630% | 1172   |  0.257% | 514    |  0.241% | 
 | 133  | Noivern            |  0.02441% | 787    |  0.173% | 280    |  0.132% | 
 | 134  | Pincurchin         |  0.02370% | 587    |  0.129% | 248    |  0.116% | 
 | 135  | Krookodile         |  0.02209% | 788    |  0.173% | 349    |  0.164% | 
 | 136  | Reuniclus          |  0.02200% | 791    |  0.174% | 326    |  0.153% | 
 | 137  | Hydrapple          |  0.02164% | 818    |  0.180% | 399    |  0.187% | 
 | 138  | Bronzong           |  0.02071% | 2639   |  0.579% | 864    |  0.406% | 
 | 139  | Oranguru           |  0.02067% | 2361   |  0.518% | 1052   |  0.494% | 
 | 140  | Umbreon            |  0.02034% | 539    |  0.118% | 176    |  0.083% | 
 | 141  | Frosmoth           |  0.01921% | 1674   |  0.368% | 719    |  0.338% | 
 | 142  | Glaceon            |  0.01903% | 771    |  0.169% | 330    |  0.155% | 
 | 143  | Overqwil           |  0.01900% | 835    |  0.183% | 387    |  0.182% | 
 | 144  | Araquanid          |  0.01832% | 1795   |  0.394% | 793    |  0.373% | 
 | 145  | Rotom-Mow          |  0.01780% | 228    |  0.050% | 89     |  0.042% | 
 | 146  | Brambleghast       |  0.01663% | 392    |  0.086% | 159    |  0.075% | 
 | 147  | Mandibuzz          |  0.01616% | 481    |  0.106% | 185    |  0.087% | 
 | 148  | Breloom            |  0.01543% | 787    |  0.173% | 367    |  0.172% | 
 | 149  | Gliscor            |  0.01333% | 1166   |  0.256% | 454    |  0.213% | 
 | 150  | Skeledirge         |  0.01254% | 1032   |  0.227% | 465    |  0.218% | 
 | 151  | Inteleon           |  0.01167% | 718    |  0.158% | 346    |  0.163% | 
 | 152  | Gardevoir          |  0.01113% | 1528   |  0.335% | 636    |  0.299% | 
 | 153  | Persian-Alola      |  0.01068% | 113    |  0.025% | 34     |  0.016% | 
 | 154  | Hawlucha           |  0.01047% | 378    |  0.083% | 149    |  0.070% | 
 | 155  | Bombirdier         |  0.00979% | 144    |  0.032% | 47     |  0.022% | 
 | 156  | Ditto              |  0.00920% | 151    |  0.033% | 61     |  0.029% | 
 | 157  | Clodsire           |  0.00899% | 606    |  0.133% | 197    |  0.093% | 
 | 158  | Scovillain         |  0.00874% | 307    |  0.067% | 125    |  0.059% | 
 | 159  | Haxorus            |  0.00857% | 409    |  0.090% | 128    |  0.060% | 
 | 160  | Goodra             |  0.00816% | 223    |  0.049% | 102    |  0.048% | 
 | 161  | Pyroar             |  0.00810% | 120    |  0.026% | 42     |  0.020% | 
 | 162  | Raichu             |  0.00792% | 948    |  0.208% | 365    |  0.171% | 
 | 163  | Basculegion-F      |  0.00747% | 446    |  0.098% | 218    |  0.102% | 
 | 164  | Braviary-Hisui     |  0.00704% | 790    |  0.173% | 358    |  0.168% | 
 | 165  | Stonjourner        |  0.00688% | 287    |  0.063% | 107    |  0.050% | 
 | 166  | Oricorio-Pom-Pom   |  0.00646% | 635    |  0.139% | 346    |  0.163% | 
 | 167  | Abomasnow          |  0.00601% | 453    |  0.099% | 189    |  0.089% | 
 | 168  | Bellibolt          |  0.00582% | 322    |  0.071% | 147    |  0.069% | 
 | 169  | Conkeldurr         |  0.00572% | 636    |  0.140% | 281    |  0.132% | 
 | 170  | Cinderace          |  0.00529% | 442    |  0.097% | 212    |  0.100% | 
 | 171  | Vaporeon           |  0.00528% | 140    |  0.031% | 64     |  0.030% | 
 | 172  | Slowking-Galar     |  0.00523% | 383    |  0.084% | 163    |  0.077% | 
 | 173  | Torterra           |  0.00519% | 298    |  0.065% | 120    |  0.056% | 
 | 174  | Flygon             |  0.00488% | 198    |  0.043% | 75     |  0.035% | 
 | 175  | Braviary           |  0.00474% | 371    |  0.081% | 117    |  0.055% | 
 | 176  | Infernape          |  0.00456% | 530    |  0.116% | 301    |  0.141% | 
 | 177  | Pachirisu          |  0.00440% | 238    |  0.052% | 76     |  0.036% | 
 | 178  | Barraskewda        |  0.00440% | 496    |  0.109% | 215    |  0.101% | 
 | 179  | Drednaw            |  0.00420% | 128    |  0.028% | 48     |  0.023% | 
 | 180  | Sunflora           |  0.00411% | 240    |  0.053% | 93     |  0.044% | 
 | 181  | Cloyster           |  0.00393% | 134    |  0.029% | 73     |  0.034% | 
 | 182  | Dudunsparce        |  0.00378% | 296    |  0.065% | 114    |  0.054% | 
 | 183  | Ludicolo           |  0.00370% | 484    |  0.106% | 203    |  0.095% | 
 | 184  | Exeggutor-Alola    |  0.00362% | 344    |  0.076% | 101    |  0.047% | 
 | 185  | Slowbro            |  0.00340% | 447    |  0.098% | 162    |  0.076% | 
 | 186  | Grumpig            |  0.00314% | 32     |  0.007% | 19     |  0.009% | 
 | 187  | Toxapex            |  0.00303% | 309    |  0.068% | 135    |  0.063% | 
 | 188  | Hitmontop          |  0.00302% | 403    |  0.088% | 183    |  0.086% | 
 | 189  | Arboliva           |  0.00284% | 493    |  0.108% | 193    |  0.091% | 
 | 190  | Volbeat            |  0.00280% | 549    |  0.121% | 171    |  0.080% | 
 | 191  | Ampharos           |  0.00273% | 131    |  0.029% | 59     |  0.028% | 
 | 192  | Meowstic           |  0.00268% | 393    |  0.086% | 191    |  0.090% | 
 | 193  | Cyclizar           |  0.00268% | 181    |  0.040% | 74     |  0.035% | 
 | 194  | Goodra-Hisui       |  0.00266% | 899    |  0.197% | 348    |  0.163% | 
 | 195  | Slowbro-Galar      |  0.00265% | 171    |  0.038% | 66     |  0.031% | 
 | 196  | Florges            |  0.00264% | 419    |  0.092% | 188    |  0.088% | 
 | 197  | Houndstone         |  0.00262% | 817    |  0.179% | 359    |  0.169% | 
 | 198  | Toxicroak          |  0.00254% | 286    |  0.063% | 112    |  0.053% | 
 | 199  | Palossand          |  0.00239% | 150    |  0.033% | 41     |  0.019% | 
 | 200  | Porygon-Z          |  0.00227% | 684    |  0.150% | 345    |  0.162% | 
 | 201  | Heracross          |  0.00212% | 234    |  0.051% | 137    |  0.064% | 
 | 202  | Ambipom            |  0.00211% | 246    |  0.054% | 117    |  0.055% | 
 | 203  | Carbink            |  0.00205% | 105    |  0.023% | 32     |  0.015% | 
 | 204  | Cetitan            |  0.00202% | 258    |  0.057% | 115    |  0.054% | 
 | 205  | Gothorita          |  0.00180% | 72     |  0.016% | 33     |  0.016% | 
 | 206  | Feraligatr         |  0.00178% | 228    |  0.050% | 106    |  0.050% | 
 | 207  | Riolu              |  0.00172% | 440    |  0.097% | 182    |  0.085% | 
 | 208  | Swampert           |  0.00170% | 363    |  0.080% | 178    |  0.084% | 
 | 209  | Staraptor          |  0.00169% | 441    |  0.097% | 170    |  0.080% | 
 | 210  | Duraludon          |  0.00166% | 160    |  0.035% | 77     |  0.036% | 
 | 211  | Muk-Alola          |  0.00163% | 400    |  0.088% | 179    |  0.084% | 
 | 212  | Wyrdeer            |  0.00160% | 233    |  0.051% | 99     |  0.047% | 
 | 213  | Mudsdale           |  0.00149% | 206    |  0.045% | 92     |  0.043% | 
 | 214  | Sandslash-Alola    |  0.00145% | 76     |  0.017% | 20     |  0.009% | 
 | 215  | Falinks            |  0.00138% | 86     |  0.019% | 26     |  0.012% | 
 | 216  | Rotom-Fan          |  0.00135% | 43     |  0.009% | 23     |  0.011% | 
 | 217  | Koffing            |  0.00134% | 55     |  0.012% | 14     |  0.007% | 
 | 218  | Golem-Alola        |  0.00131% | 96     |  0.021% | 33     |  0.016% | 
 | 219  | Snorlax            |  0.00129% | 510    |  0.112% | 187    |  0.088% | 
 | 220  | Perrserker         |  0.00113% | 344    |  0.076% | 161    |  0.076% | 
 | 221  | Cryogonal          |  0.00105% | 91     |  0.020% | 30     |  0.014% | 
 | 222  | Thwackey           |  0.00104% | 178    |  0.039% | 71     |  0.033% | 
 | 223  | Avalugg-Hisui      |  0.00101% | 104    |  0.023% | 41     |  0.019% | 
 | 224  | Slowking           |  0.00101% | 380    |  0.083% | 156    |  0.073% | 
 | 225  | Vikavolt           |  0.00099% | 668    |  0.147% | 291    |  0.137% | 
 | 226  | Spiritomb          |  0.00095% | 421    |  0.092% | 81     |  0.038% | 
 | 227  | Beartic            |  0.00095% | 211    |  0.046% | 102    |  0.048% | 
 | 228  | Rabsca             |  0.00093% | 326    |  0.072% | 142    |  0.067% | 
 | 229  | Venonat            |  0.00091% | 92     |  0.020% | 34     |  0.016% | 
 | 230  | Sceptile           |  0.00084% | 504    |  0.111% | 194    |  0.091% | 
 | 231  | Lapras             |  0.00081% | 451    |  0.099% | 216    |  0.101% | 
 | 232  | Luxray             |  0.00080% | 120    |  0.026% | 57     |  0.027% | 
 | 233  | Electivire         |  0.00078% | 203    |  0.045% | 81     |  0.038% | 
 | 234  | Coalossal          |  0.00075% | 208    |  0.046% | 90     |  0.042% | 
 | 235  | Poliwrath          |  0.00074% | 174    |  0.038% | 57     |  0.027% | 
 | 236  | Illumise           |  0.00073% | 394    |  0.087% | 145    |  0.068% | 
 | 237  | Lumineon           |  0.00069% | 80     |  0.018% | 36     |  0.017% | 
 | 238  | Greedent           |  0.00065% | 18     |  0.004% | 10     |  0.005% | 
 | 239  | Ariados            |  0.00059% | 32     |  0.007% | 5      |  0.002% | 
 | 240  | Avalugg            |  0.00055% | 115    |  0.025% | 37     |  0.017% | 
 | 241  | Rhydon             |  0.00055% | 266    |  0.058% | 82     |  0.039% | 
 | 242  | Lokix              |  0.00053% | 171    |  0.038% | 78     |  0.037% | 
 | 243  | Typhlosion         |  0.00052% | 566    |  0.124% | 319    |  0.150% | 
 | 244  | Hitmonlee          |  0.00051% | 28     |  0.006% | 11     |  0.005% | 
 | 245  | Sneasel            |  0.00050% | 67     |  0.015% | 25     |  0.012% | 
 | 246  | Floatzel           |  0.00048% | 71     |  0.016% | 30     |  0.014% | 
 | 247  | Grafaiai           |  0.00041% | 373    |  0.082% | 109    |  0.051% | 
 | 248  | Dusknoir           |  0.00035% | 43     |  0.009% | 23     |  0.011% | 
 | 249  | Dewgong            |  0.00034% | 76     |  0.017% | 29     |  0.014% | 
 | 250  | Pikachu            |  0.00034% | 243    |  0.053% | 64     |  0.030% | 
 | 251  | Polteageist        |  0.00034% | 69     |  0.015% | 23     |  0.011% | 
 | 252  | Diglett            |  0.00034% | 3      |  0.001% | 0      |  0.000% | 
 | 253  | Slowpoke           |  0.00029% | 58     |  0.013% | 29     |  0.014% | 
 | 254  | Rhyperior          |  0.00029% | 315    |  0.069% | 153    |  0.072% | 
 | 255  | Magnezone          |  0.00027% | 383    |  0.084% | 205    |  0.096% | 
 | 256  | Eelektross         |  0.00026% | 150    |  0.033% | 72     |  0.034% | 
 | 257  | Primeape           |  0.00023% | 84     |  0.018% | 44     |  0.021% | 
 | 258  | Nosepass           |  0.00023% | 12     |  0.003% | 5      |  0.002% | 
 | 259  | Emboar             |  0.00023% | 90     |  0.020% | 41     |  0.019% | 
 | 260  | Bastiodon          |  0.00023% | 172    |  0.038% | 72     |  0.034% | 
 | 261  | Gogoat             |  0.00022% | 40     |  0.009% | 12     |  0.006% | 
 | 262  | Jolteon            |  0.00021% | 362    |  0.079% | 154    |  0.072% | 
 | 263  | Shiftry            |  0.00020% | 204    |  0.045% | 91     |  0.043% | 
 | 264  | Mismagius          |  0.00017% | 117    |  0.026% | 38     |  0.018% | 
 | 265  | Sandaconda         |  0.00016% | 59     |  0.013% | 27     |  0.013% | 
 | 266  | Lilligant          |  0.00015% | 151    |  0.033% | 47     |  0.022% | 
 | 267  | Cinccino           |  0.00015% | 134    |  0.029% | 58     |  0.027% | 
 | 268  | Medicham           |  0.00013% | 133    |  0.029% | 57     |  0.027% | 
 | 269  | Zebstrika          |  0.00013% | 101    |  0.022% | 43     |  0.020% | 
 | 270  | Decidueye          |  0.00013% | 142    |  0.031% | 64     |  0.030% | 
 | 271  | Froslass           |  0.00013% | 287    |  0.063% | 92     |  0.043% | 
 | 272  | Lycanroc-Dusk      |  0.00012% | 160    |  0.035% | 69     |  0.032% | 
 | 273  | Copperajah         |  0.00012% | 64     |  0.014% | 30     |  0.014% | 
 | 274  | Arbok              |  0.00012% | 64     |  0.014% | 28     |  0.013% | 
 | 275  | Crabominable       |  0.00011% | 181    |  0.040% | 81     |  0.038% | 
 | 276  | Appletun           |  0.00011% | 102    |  0.022% | 45     |  0.021% | 
 | 277  | Raichu-Alola       |  0.00011% | 189    |  0.041% | 99     |  0.047% | 
 | 278  | Flapple            |  0.00011% | 36     |  0.008% | 21     |  0.010% | 
 | 279  | Electrode          |  0.00010% | 71     |  0.016% | 22     |  0.010% | 
 | 280  | Dugtrio            |  0.00010% | 241    |  0.053% | 121    |  0.057% | 
 | 281  | Rampardos          |  0.00010% | 139    |  0.031% | 79     |  0.037% | 
 | 282  | Sudowoodo          |  0.00010% | 17     |  0.004% | 8      |  0.004% | 
 | 283  | Skarmory           |  0.00010% | 145    |  0.032% | 57     |  0.027% | 
 | 284  | Buizel             |  0.00010% | 2      |  0.000% | 0      |  0.000% | 
 | 285  | Squawkabilly       |  0.00009% | 18     |  0.004% | 8      |  0.004% | 
 | 286  | Misdreavus         |  0.00009% | 48     |  0.011% | 15     |  0.007% | 
 | 287  | Naclstack          |  0.00009% | 1      |  0.000% | 1      |  0.000% | 
 | 288  | Minior             |  0.00008% | 82     |  0.018% | 39     |  0.018% | 
 | 289  | Eiscue             |  0.00008% | 40     |  0.009% | 13     |  0.006% | 
 | 290  | Toucannon          |  0.00008% | 43     |  0.009% | 10     |  0.005% | 
 | 291  | Cramorant          |  0.00008% | 34     |  0.007% | 6      |  0.003% | 
 | 292  | Clawitzer          |  0.00007% | 310    |  0.068% | 146    |  0.069% | 
 | 293  | Camerupt           |  0.00007% | 45     |  0.010% | 22     |  0.010% | 
 | 294  | Vileplume          |  0.00006% | 46     |  0.010% | 16     |  0.008% | 
 | 295  | Rotom-Frost        |  0.00006% | 233    |  0.051% | 107    |  0.050% | 
 | 296  | Sneasel-Hisui      |  0.00005% | 149    |  0.033% | 68     |  0.032% | 
 | 297  | Dragalge           |  0.00005% | 253    |  0.056% | 117    |  0.055% | 
 | 298  | Trevenant          |  0.00005% | 249    |  0.055% | 92     |  0.043% | 
 | 299  | Magneton           |  0.00005% | 29     |  0.006% | 7      |  0.003% | 
 | 300  | Crawdaunt          |  0.00005% | 109    |  0.024% | 54     |  0.025% | 
 | 301  | Hitmonchan         |  0.00005% | 47     |  0.010% | 19     |  0.009% | 
 | 302  | Morpeko            |  0.00005% | 80     |  0.018% | 30     |  0.014% | 
 | 303  | Leafeon            |  0.00005% | 96     |  0.021% | 29     |  0.014% | 
 | 304  | Jigglypuff         |  0.00004% | 83     |  0.018% | 30     |  0.014% | 
 | 305  | Trapinch           |  0.00004% | 19     |  0.004% | 8      |  0.004% | 
 | 306  | Sentret            |  0.00004% | 10     |  0.002% | 3      |  0.001% | 
 | 307  | Masquerain         |  0.00004% | 48     |  0.011% | 20     |  0.009% | 
 | 308  | Foongus            |  0.00003% | 36     |  0.008% | 11     |  0.005% | 
 | 309  | Dugtrio-Alola      |  0.00002% | 24     |  0.005% | 4      |  0.002% | 
 | 310  | Dipplin            |  0.00002% | 151    |  0.033% | 65     |  0.031% | 
 | 311  | Chansey            |  0.00002% | 115    |  0.025% | 42     |  0.020% | 
 | 312  | Wigglytuff         |  0.00002% | 33     |  0.007% | 12     |  0.006% | 
 | 313  | Probopass          |  0.00002% | 23     |  0.005% | 9      |  0.004% | 
 | 314  | Wugtrio            |  0.00002% | 29     |  0.006% | 8      |  0.004% | 
 | 315  | Houndoom           |  0.00002% | 68     |  0.015% | 26     |  0.012% | 
 | 316  | Mabosstiff         |  0.00001% | 33     |  0.007% | 9      |  0.004% | 
 | 317  | Tentacruel         |  0.00001% | 94     |  0.021% | 44     |  0.021% | 
 | 318  | Igglybuff          |  0.00001% | 4      |  0.001% | 0      |  0.000% | 
 | 319  | Qwilfish-Hisui     |  0.00001% | 61     |  0.013% | 27     |  0.013% | 
 | 320  | Cacturne           |  0.00001% | 36     |  0.008% | 15     |  0.007% | 
 | 321  | Dedenne            |  0.00001% | 40     |  0.009% | 6      |  0.003% | 
 | 322  | Grovyle            |  0.00001% | 1      |  0.000% | 0      |  0.000% | 
